reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.36,52.19,30,0,-15,1,10,50,60,60,0,-15,1,0.1,242.57,15,60,1.48,-15,10,3.28,50,15,30,2,-15,9.28,0.1,50
0.38,15,30,0,-15,1,10,50,60,42.1,0,-15,1,0.1,85.58,15,60,1.66,-9,10,2.59,50,15,30,1.45,-15,10,0.1,151.44
0.384,15,30,0,-15,1,10,50,60,41.1,0,-15,1,7.09,79.39,15,60,2,-11.52,10,5.64,50,15,30,0.08,-15,10,0.1,50
0.416,15,30,0,-15,1,10,50,60,30,0,-15,1,10,216.81,15,60,2,-14.38,10,6.51,50,15,30,0.19,-15,10,0.1,50
0.348,16.66,32.04,0,-15,1,10,50,60,30,0,-15,1,10,127.51,44.82,60,1.96,-8.35,10,6.56,50,15,30,0,-15,10,0.1,50
0.362,15,30,0,-15,1,10,50,60,30,0,-15,1,10,163.48,27.56,60,0.04,-5.48,10,1.56,50,15,30,0,-15,10,0.1,50
0.337,15,30,0,-15,1,10,121.93,60,36.48,0,-15,1,10,98.63,52.85,60,0,-14.12,10,3.37,50,15,30,0,-15,10,0.1,50
0.344,15,30,0,-15,1,10,50,60,36.4,0,-15,1,10,50,23.23,60,0,-15,10,0.1,50,23.49,30,0,-15,10,0.1,50
0.369,15,30,0,-15,1,10,173.1,60,36,0,-15,1,10,268.04,37.89,60,0,-15,10,0.1,50,15,30,0.58,-15,10,0.1,50
0.319,19.26,30,0,-15,1,10,87.29,60,39.51,0,-15,1,10,266.76,43.55,60,0,-15,10,1.18,50,15,30,0,-15,10,0.1,50
0.408,15,30,0,-15,1,10,251.55,60,30,0,-15,1,10,300,15,60,0,-15,10,0.1,50,15,30,0,-15,10,0.1,50
0.409,15,30,0,-15,1,10,95.49,60,30,0,-15,1,10,300,15,60,0,-15,10,0.1,50,15,30,0.11,-15,10,0.1,134.55
0.406,15,30,0,-15,1,10,178.11,60,30,0,-15,1,10,300,15,60,0,-15,10,0.1,50,15,30,0.41,-15,10,0.1,241.38
0.353,44.78,30,0,-15,1,10,185.75,60,30,0,-15,1,10,300,30.43,60,0,-15,10,0.1,50,15,30,1.91,-15,10,0.1,128.5
