reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.435,15,30,2,0,1.01,0.1,278.96,59.19,30,0,-15,1,0.61,52.93,15,60,0,-15,4.02,10,300,15,31.11,0,-15,9.17,0.1,50
0.419,22.41,30,2,0,5.45,0.1,300,56.05,30,0.13,-15,1,0.6,59.89,15,60,0,-15,4.17,10,300,15,30,0,-15,10,0.1,50
0.481,17.7,30,2,-15,6.35,0.1,300,60,30,0.36,-14.96,1,0.37,131.43,15,60,0,-15,5.01,10,201.7,15,31.16,0,-15,10,0.1,50
0.491,15,30,2,-15,3.45,0.1,233.13,60,30,0.98,-15,1,0.1,300,15,60,0.52,-15,8.01,10,300,15,30,0,-15,10,0.1,50
0.468,15,30,2,-15,2.48,0.1,111.11,56.24,30,0.21,-15,1,0.1,298.34,15,60,0.74,-15,4.14,10,266.51,15,30,0,-15,10,10,50
0.494,15,30,2,-15,8.06,0.1,146.8,49.07,30,0,-15,1,0.1,236.92,15,60,0.96,-15,4.24,10,300,15,30,0,-15,10,10,50
0.478,25.77,30,2,-15,5.44,0.1,50,40.09,30,0,-15,1,0.1,50,15,60,1.14,-15,4.15,10,300,15,30,0,-15,10,10,50
0.454,43.51,30,2,-15,4.55,0.1,50,44.21,30,0,-15,1,0.1,50,15,60,2,-15,6.53,10,300,18.92,30,0,-15,10,10,50
0.387,60,30,2,-15,2.01,0.1,50,56.45,30,0,-15,1,0.1,106.65,55.59,60,2,-15,1.54,10,300,15,30,0,-15,10,10,177.36
0.364,49.31,30,2,-15,1.02,0.1,50,22.86,30,0,-15,1,0.1,200.55,60,60,2,-15,1,10,236,15,30,0,-15,10,10,50
0.316,50.4,30,2,-15,1,0.1,50,60,30,0,-15,1,0.1,54.39,60,60,2,-15,1,10,248.83,15,53.63,0,-15,10,10,50
0.31,46.52,30,1.63,-15,1,0.1,50,60,30,0,-15,1,0.1,120.32,60,60,2,-15,1,10,300,15,60,0,-15,10,10,50
0.297,42.95,30,0.2,-15,1,0.1,50,60,30,0,-15,1,0.1,55.68,60,60,2,-15,1,10,300,15,60,0,-15,10,10,50
0.293,49.66,30,0,-15,1,0.1,50,60,30,0,-15,1,0.1,50,60,60,2,-11.14,1,10,300,15,60,0,-15,5.62,10,50
0.325,55.32,30,0,-15,1,0.1,50,60,30,2,-15,1,0.1,61.4,60,60,2,-15,6.52,10,300,15,60,0,-15,10,10,50
0.317,31.2,30,0,-15,1,0.1,50,60,30,0.62,-15,1,0.1,189.13,60,60,2,-15,8.13,10,300,15,60,0,-15,6.56,10,50
0.325,60,30,0,-15,1,0.1,50,60,30,2,-15,1,0.1,298.31,60,60,2,-15,8.11,10,300,15,60,0,-15,10,10,50
0.342,60,30,2,-15,1,0.1,50,60,30,2,-15,1,0.1,300,60,60,2,-15,10,10,300,15,60,0,-15,8.15,10,50
0.334,60,30,1.12,-15,1,0.1,50,60,30,2,-15,1,0.1,300,60,60,2,-15,7.4,10,300,15,60,0,-15,10,10,50
0.341,53.92,30,2,-15,1,3.05,50,60,30,2,-15,1,0.1,300,60,60,2,-15,5.88,10,300,15,60,0,-15,10,10,50
0.333,53.14,30,2,-15,1,5.66,50,60,30,2,-15,1,0.1,300,59.48,60,2,-15,1,10,300,15,60,0,-15,10,10,50
0.374,38.16,30,2,-15,2.89,10,50,60,30,2,-15,1,0.1,300,60,60,2,-15,1.5,10,300,15,60,0,-15,10,10,50
0.36,19.14,30,2,-15,1,8.05,50,60,30,2,-15,1,0.1,194.07,60,60,2,-15,1,10,300,15,60,0,-15,9.06,10,50
