reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.582,60,60,0,0,10,5.55,50,15,30,2,-15,1,0.1,108.88,15,39.41,1.15,-15,10,10,50,15,60,0.53,-15,10,10,50
0.583,60,60,0.61,0,10,0.1,50,15,30,2,-15,1,10,122.85,15,58.99,1.98,-15,10,10,50,15,49.2,1.39,-15,10,10,50
0.584,60,60,0,-3.06,10,0.66,50,15,34.18,2,-15,1,10,103.44,15,60,1.61,-15,10,7.64,50,15,33.96,2,-15,10,9.51,50
0.584,60,60,0,-2.48,10,10,50,15,44.72,2,-15,1,10,90.91,15,60,1.73,-15,10,10,50,15,30,0.67,-15,10,0.64,50
0.585,60,58.86,0,-1.19,10,10,50,15,30,2,-15,1,10,50,15,60,0.78,-15,10,10,50,15,30,0,-15,10,4.22,50
0.583,60,49.68,0,-6.25,10,10,50,15,30,2,-15,1,10,148.43,15,60,0,-15,10,10,50,15,43.04,0,-15,10,0.1,50
0.57,60,56.81,0,0,10,10,50,15,30,2,-15,1,10,82.13,15,60,0.19,-15,10,10,50,28.75,49.59,0,-15,10,0.1,50
0.563,60,58.36,0,0,10,10,50,15,30,2,-15,1,10,50,15,60,1.05,-15,10,10,50,39.25,48.41,0,-15,10,1.2,50
0.562,60,60,0,0,10,10,50,15,30,2,-15,1,10,155.3,15,60,1.88,-15,10,10,50,34.45,60,0,-15,10,10,50
0.559,60,60,0,0,10,10,50,15,30,2,-15,1,10,50,15,60,0.9,-15,10,10,50,60,60,0,-15,10,10,50
0.532,60,60,0,0,10,10,50,15,52.51,2,-15,1,10,50,15,60,0,-15,10,10,50,60,60,0,-15,10,10,50
0.54,60,60,0,0,10,10,50,15,49.64,2,-15,1,10,50,15,60,1.09,-15,10,10,50,33.53,60,0,-15,10,9.68,50
0.541,60,60,0,0,10,10,50,15,48.48,2,-15,1,10,50,15,60,2,-15,10,10,50,54.8,60,0,-15,10,10,50
0.556,60,60,0,-8.94,10,10,50,15,32.87,2,-15,1,10,50,15,60,2,-15,10,10,50,60,60,0,-15,10,10,50
0.545,60,60,0,0,10,10,165.92,15,40.46,2,-15,1,10,159.09,15,60,2,-15,10,10,50,57.03,60,0,-15,10,10,50
0.552,60,51.83,0,-12.2,10,10,181.67,15,42.14,2,-15,1,10,166.8,15,60,2,-15,10,10,50,56.55,60,0,-15,10,10,50
0.569,60,45.47,0,-14.56,10,10,300,15,30,2,-15,1,10,166.93,15,60,2,-15,10,10,50,55.98,60,0,-15,10,10,50
0.574,60,32.57,0,-8.22,10,10,300,15,30,2,-15,1,10,50,15,60,2,-15,10,10,50,47.24,60,0,-15,10,3.04,50
0.572,60,30,0.51,-11.33,10,10,300,15,30.51,2,-15,1,10,50,26.48,60,2,-15,10,10,50,53.51,60,0,-15,10,2.03,50
0.549,60,31.55,0,-10.07,10,10,300,15,36.13,2,-15,1,10,50,60,60,2,-15,10,10,50,41.33,60,0,-15,10,1.14,50
0.555,60,31.12,0,-1.87,10,10,300,15,30,2,-15,1,10,50,60,60,2,-15,10,10,50,22.48,60,0,-15,10,7.61,50
0.57,15,36.07,2,-6.55,6.23,1.36,237.02,60,47.45,2,-12.3,10,5.16,241.34,53.56,56.48,0.41,-6.37,4.06,3.92,177.23,15,60,0.88,-9.4,1.4,0.1,300
0.573,15,30,2,-3.46,6.46,0.1,78.8,60,42.78,2,-12.92,10,0.1,300,26.19,57.6,1.92,0,1,0.71,235,21.2,46.3,1.07,0,1,0.1,274.94
0.546,15,30,2,0,6.73,0.1,50,60,60,2,0,10,0.84,78.2,45.93,60,1.76,0,1.91,0.1,116.82,21.49,30,1.82,0,2.13,0.1,277.67
0.536,15,41.64,2,0,1,0.1,50,60,52.05,2,0,10,0.1,50,35.21,60,0.46,0,4.31,5.55,153.66,20.36,30,0.14,-2.4,4.29,0.1,50
0.549,15,56.7,2,0,1,2.56,50,60,60,2,-0.61,10,0.1,50,15,60,0.95,0,7.19,2.33,300,17.11,36.33,0,-1.95,10,0.1,50
0.521,15,45.67,2,0,1,2.24,50,60,60,2,-3.43,10,0.1,50,25.8,60,1.94,0,1.56,5.94,300,30.77,60,0.01,0,8.81,0.1,50
0.534,15,47.69,2,0,4.3,8.88,50,60,60,2,0,10,7.27,50,25.58,60,1.6,0,1,5.42,300,15,60,1.46,-1.8,1.14,0.1,78.54
0.525,15,60,2,0,6.07,6.36,50,60,60,2,0,10,10,50,46.19,60,1.01,0,5.93,1.34,300,15,60,1.41,0,1,0.1,50
0.52,15,60,2,0,5.89,6.23,50,60,52.75,2,0,10,10,50,54.65,37.08,2,0,4.41,0.1,300,31.08,60,2,-3.89,1,0.1,50
0.532,15,60,2,-10.68,10,8.21,63.94,60,60,2,0,10,10,50,60,44.09,2,0,3.45,0.1,300,43.49,60,0.69,0,1,0.1,71.69
0.525,15,60,2,-5.84,10,3.11,169.64,60,60,2,0,10,10,50,60,45.37,2,0,6.8,0.1,300,21.74,60,0.21,0,1,0.1,123.2
0.528,15,60,2,0,9.68,5.36,217.62,60,60,2,0,10,10,50,60,41.29,2,0,8.26,0.1,300,15,60,0,0,1,0.1,50
